lat,lon,x_wind,y_wind
43.75,350.0,2.5986018,0.42936134
53.75,0.0,5.227953,-5.195449
53.75,140.25,12.728602,0.019678295
53.75,150.25,3.1311042,1.6353569
53.75,160.25,1.9614707,2.0997064
53.75,170.25,4.422027,0.74855006
53.75,180.25,5.235044,-0.23989412
53.75,190.25,5.603168,-2.6824756
53.75,200.25,5.877667,-2.9505255
53.75,210.25,4.127586,3.9956064
53.75,220.25,2.2678373,3.944816
53.75,303.75,4.177857,-1.5433074
53.75,313.75,5.9578986,-0.36008346
53.75,323.75,6.751387,-0.2096886
53.75,333.75,7.366927,0.47911146
53.75,343.75,6.6742268,4.4628687
53.75,359.75,5.1881175,-5.2353344
63.75,0.0,0.959495,2.8665667
63.75,179.0,1.0677258,-1.7124434
63.75,189.0,-1.0568802,0.6285866
63.75,269.75,1.638087,2.0019841
63.75,283.5,3.6973639,-5.649759
63.75,296.0,3.344792,-0.18363869
63.75,306.0,-1.1537507,-0.8569664
63.75,319.25,-8.184782,-0.22128588
63.75,329.25,-5.3967795,-4.322486
63.75,342.25,-0.3744263,-4.584736
63.75,352.25,-0.12693675,1.5369595
73.75,0.0,-1.4231327,-1.2348031
73.75,10.0,-1.414039,-0.012043381
73.75,20.0,-1.0915759,1.3218181
73.75,30.0,-0.43045107,2.5017047
73.75,40.0,-0.38126647,2.720813
73.75,50.0,0.01352783,2.9466288
73.75,60.0,0.51398146,1.5946143
73.75,70.0,1.3966516,0.7139569
73.75,80.0,1.5810907,1.6279879
73.75,116.5,3.7799988,0.98914844
73.75,126.5,2.1139848,-2.3805299
73.75,136.5,1.230969,-0.4223946
73.75,146.5,0.26127166,0.24262081
73.75,156.5,0.29537266,-0.8926724
73.75,172.75,-15.443648,-2.1993237
73.75,182.75,-0.82791173,-3.3596985
73.75,192.75,-1.3902422,-1.4974502
73.75,202.75,-2.0977511,-0.7873668
73.75,212.75,-3.5486293,-3.1280928
73.75,230.75,-5.903068,-0.9381341
73.75,246.25,7.1985483,-4.2934546
73.75,256.25,0.7266833,-1.5276837
73.75,280.75,4.8075223,-3.8755932
73.75,290.75,0.6965329,-1.5785544
73.75,300.75,-2.8926437,4.020746
73.75,344.25,1.7120699,-8.408683
73.75,354.25,-1.4090992,-2.3397386
